StockName,release_feature,release_ratio,6d_return,10d_return,16d_return,20d_return,30d_return,60d_return,90d_return,basic_eps
688630.SH,0.055948194,0.2,0.382179882,0.254563895,0.1,0.151923077,0.151270208,0.310506567,0.427867151,0.41
688662.SH,0.037125371,0.23,-0.082303286,-0.188741722,-0.245662734,-0.256123163,-0.357277883,0.10896004,0.022331155,0.4601
603906.SH,0.002020243,0,-0.040438657,0.027546445,0.015883306,0.115126785,0.024734982,-0.09444845,0.109677419,0.3
600853.SH,0.022715379,0.17,-0.011494253,-0.015384615,0.014925373,-0.007633588,-0.035294118,-0.023255814,-0.086419753,0.0358
002712.SZ,0.000448103,0,0.034274194,0.026422764,0.066276803,0.006224066,0.032323232,0.114602588,-0.043572985,0.06
002825.SZ,0.000310862,0,-0.008637874,-0.016064257,-0.00729927,0.027546445,-0.067510549,-0.084285714,-0.08583691,0.26
603131.SH,0.002366873,0.01,0.06974507,0.069297401,0.073754789,0.035892323,-0.035331906,-0.072062084,-0.119861031,0.16
600559.SH,0.022799368,0.02,-0.077383924,0.054752519,0.150059078,0.100458524,-0.013621419,0.270453009,0.157360406,0.14
002931.SZ,0.070117537,0.59,0.022451456,0.056239016,0.034172662,0.028347407,-0.018975332,0.229186603,-0.233537519,0.25
003042.SZ,0.043909339,0.25,0.317132175,0.175955414,0.214123007,0.140603377,0.091308165,0.024505184,-0.147450111,0.23
003041.SZ,0.033392198,0.25,0.316996047,0.31392271,0.299648744,0.1641406,0.126095752,0.168431184,0.04,0.4256
000603.SZ,0.011840608,0.02,-0.019838354,-0.006526468,0.019081272,0.006442377,0.038115038,0.005017921,-0.080996885,0.1647
688260.SH,0.040174309,0.23,-0.394428152,-0.463076923,-0.465331279,-0.492154812,-0.717639976,-0.274229567,-0.374277457,-0.0008
300826.SZ,0.023454094,0.2,-0.023051592,-0.009022014,-0.022303473,0.04312115,0.047359455,-0.387593052,-0.365234375,0.34
603626.SH,0.00123034,0.01,0.068230277,0.03956044,0.076109937,0.060215054,0.023463687,-0.054282268,0.092419522,0.6899
603324.SH,0.04576454,0.25,0.317020769,0.372862779,0.359955257,0.213146315,0.170002901,0.141356543,0.331854274,0.48
688191.SH,0.044262503,0.23,-0.356631811,-0.38795045,-0.32455669,-0.295323174,-0.501218027,-0.437317784,-0.16,0.19
688636.SH,0.056771293,0.2,-0.433426258,-0.446871231,-0.27485242,-0.45017459,-0.451149039,-0.038668719,0.099716525,1.1
300963.SZ,0.073735071,0.24,-0.423175234,-0.419546742,-0.620633894,-0.601982097,-0.251811142,-0.56105919,-0.566916823,0.23
688468.SH,0.042649922,0.08,-0.368074602,0.050266565,-0.069468268,0.037065637,-0.106477374,0.07458256,-0.217773438,0.19
300962.SZ,0.112444237,0.24,0.008571429,-0.051196607,-0.31091802,-0.270596851,-0.322408537,-0.371541502,-0.494401378,0.2286
600050.SH,0.047241219,0.01,-0.012077295,0.009456265,0.021767396,0.016431925,0.027842227,0.021028037,0.014074759,0.131
300966.SZ,0.081078849,0.24,-0.538606911,-0.581737441,-0.700178998,-0.051476015,0.015376641,-0.03392598,-0.238105583,0.43
603609.SH,0.002439834,0,-0.033476395,-0.023809524,-0.032590051,-0.077887198,-0.107635695,-0.128397376,-0.167798254,0.27
688096.SH,0.040294242,0.45,-0.008816121,0.030266344,0.012939002,-0.035552683,-0.093515358,-0.039584685,-0.043648208,0.19
688085.SH,0.056613766,0.19,-0.036357091,0.035833891,0.133614204,0.134915865,0.081951531,0.17836758,0.26537382,0.34
002979.SZ,0.128539295,0.29,-0.023476523,0.031892275,0.054453161,0.089535659,0.028449502,-0.349802372,-0.226211849,0.44
300827.SZ,0.029863731,0.16,0.010315414,0.050256996,0.048627002,0.035942029,0.020612485,0.138639503,0.060451977,0.18
600189.SH,0.006656685,0.02,0.019624573,0.07038835,0.01710864,-0.019520852,-0.04076087,0.065853659,-0.002617801,0.09
600789.SH,0.010555989,0.03,0.012032086,0.023778071,0.048906049,0.070440252,0.04025974,0.03908324,-0.017906336,0.08
600821.SH,0.030484173,0.1,-0.079726651,-0.012820513,-0.004237288,0.030674847,0.026694045,0.228013029,0.164021164,0.17
600889.SH,0.006608101,0.08,0.03526971,0.006410256,0.088235294,0.174067496,0.265402844,0.30075188,0.360385144,0.32
300620.SZ,7.88E-05,0,0.128065395,0.05982906,0.061333333,0.07001321,0.102727504,0.171569781,0.375554373,0.535
603301.SH,0.334151568,0.53,0.002961866,0.031120705,0.020371044,-0.019110691,-0.086982846,-0.15554602,-0.266698024,1.66
603897.SH,0.108434866,0.69,-0.007683215,-0.005306604,-0.033333333,0.057490326,0.064215148,0.234739677,0.372700515,1.18
605378.SH,0.043653415,0.25,0.317092867,0.401650943,0.282116582,0.329545455,0.252724595,0.388527356,0.453232759,0.35
002895.SZ,0.041899495,0.16,0.007820137,-0.002964427,-0.032553408,-0.025252525,-0.001974334,0.216820988,0.545454545,0.2163
688611.SH,0.036838072,0.23,-0.234649123,-0.250555309,-0.283337132,-0.464239272,-0.451030928,-0.239815019,-0.125324805,0.37
002493.SZ,0.627430563,0.07,0.042166485,0.039022611,0.100682594,0.069890575,-0.002663623,-0.498010233,-0.542740047,0.65
